存货编号,规格型号,期末
373.0,EKDR16-20-P6.1-W5.1-R0.5,1.0
374.0,EKDR16-20-P6.1-W5.1-R0.5,1.0
375.0,EKDR20-16-P9.58-W9.58-R2.34,1.0
376.0,EKDR20-20-P9.14-W9.14-R2.30,3.0
377.0,EKDE22-20-P10.22-W7.07,2.0
378.0,EKDR16-20-P7.13-W7.13-R0.56,3.0
379.0,EKDR22-16-P9.6-W9.6-R2.35,1.0
380.0,EKDR22-16-P9.6-W9.6-R2.35,1.0
381.0,EKDR22-22-P8.79-W8.79-R0.65,1.0
382.0,EKDR45-25-P26.24-W16.24-R0.63,10.0
383.0,EKDR50-25-P34.24-W16.24-R0.63,14.0
384.0,EKPE16-25-P10.2-W8.05,1.0
385.0,EKSD10-10-P5.19,1.0
386.0,EKSD10-20-P4.2,4.0
387.0,EKSD10-25-P4.2,1.0
388.0,EKSD10-25-P4.2,1.0
389.0,EKSD10-25-P5.6,1.0
390.0,EKSD10-25-P5.6,3.0
391.0,EKSD13-16-P6.29,1.0
392.0,EKSD13-16-P6.29,9.0
393.0,EKSD13-16-P6.35,1.0
394.0,EKSD13-16-P7.9,2.0
395.0,EKSD13-20-P4.68,1.0
396.0,EKSD22-20-P11.13,2.0
397.0,EKSD13-20-P6.2,1.0
398.0,EKSD13-20-P7.05,1.0
400.0,EKSD13-30-P7.28,1.0
401.0,EKSD16-10-P9.27,1.0
402.0,EKSD16-16-P8.15,1.0
403.0,EKSD16-20-P6.24,1.0
404.0,EKSD16-20-P7.05,1.0
405.0,EKSD16-20-P7.18,1.0
406.0,EKSD16-20-P7.27,1.0
408.0,EKSD16-20-P8.02,1.0
409.0,EKSD16-20-P8.06,1.0
410.0,EKSD16-20-P8.1,1.0
411.0,EKSD16-20-P8.15,1.0
412.0,EKSD16-20-P8.15,3.0
413.0,EKSD16-20-P8.23,1.0
414.0,EKSD16-20-P8.23,2.0
415.0,EKSD16-20-P8.24,1.0
416.0,EKSD16-20-P8.43,1.0
417.0,EKSD16-20-P8.43,1.0
418.0,EKSD16-20-P9.15,1.0
419.0,EKSD16-25-P6.22,2.0
420.0,EKSD16-25-P8.07,1.0
421.0,EKSD16-25-P8.07,4.0
422.0,EKSD16-30-P3.23,1.0
423.0,EKSD16-30-P8.16,2.0
424.0,EKSD16-30-P8.23,7.0
425.0,EKSD16-32-P7.8,1.0
426.0,EKSD16-32-P8.0,1.0
427.0,EKSD16-32-P8.1,1.0
428.0,EKSD20-16-P11.0,1.0
429.0,EKSD20-16-P11.90,1.0
430.0,EKSD20-16-P11.90,1.0
431.0,EKSD20-20-P10.15,1.0
432.0,EKSD20-20-P10.24,2.0
433.0,EKSD20-20-P10.3,1.0
434.0,EKSD20-20-P7.14,1.0
435.0,EKSD20-20-P7.3,1.0
436.0,EKSD20-20-P8.15,1.0
437.0,EKSD20-20-P8.21,1.0
438.0,EKSD20-20-P8.21,4.0
439.0,EKSD20-20-P9.3,1.0
440.0,EKSD20-20-P9.3,2.0
441.0,EKSD20-22-P10.24,1.0
442.0,EKSD20-22-P10.24,2.0
443.0,EKSD20-25-P8.05,1.0
444.0,EKSD20-25-P8.05,1.0
445.0,EKSD20-25-P8.11,1.0
446.0,EKSD20-25-P8.11,1.0
447.0,EKSD20-30-P10.23,1.0
448.0,EKSD22-20-P10.14,1.0
449.0,EKSD22-20-P8.18,1.0
450.0,EKSD22-20-P9.24,1.0
451.0,EKSD22-25-P8.15,1.0
452.0,EKSD22-30-P11.73,2.0
453.0,EKSD22-30-P11.73,3.0
454.0,EKSD22-32-P11.6,1.0
455.0,EKSD25-16-P14.25,2.0
456.0,EKSD25-20-P14.25,2.0
457.0,EKSD25-20-P14.25,2.0
458.0,EKSD25-20-P14.25,2.0
459.0,EKSD25-22-P12.24,1.0
460.0,EKSD25-28-P10.17,2.0
461.0,EKSD25-30-P14.58,6.0
462.0,EKSD32-22-P17.62,2.0
463.0,EKSD32-25-P16.34,1.0
464.0,EKSD38-20-P25.24,1.0
465.0,EKSDSD13-20-P7.05,1.0
466.0,ELJAS10-80-P8.75,1.0
467.0,ELJAS10-80-P8.75,2.0
468.0,ELJAS10-90-P5.0,1.0
469.0,ELJAS10-90-P5.0,1.0
470.0,ELJAS10-90-P5.0,1.0
471.0,ELJAS10-90-P5.0,1.0
472.0,ELJAS10-90-P8.1,1.0
473.0,ELJAS13-63-P10.25,1.0
474.0,ELJAS13-80-P10.25,1.0
475.0,ELJAS13-80-P10.25,1.0
476.0,ELJAS13-80-P10.25,1.0
477.0,ELJAS13-80-P10.25,1.0
478.0,ELJAS13-80-P10.25,5.0
479.0,EKSD22-20-P10.07,2.0
480.0,EKSD32-20-P15.40,2.0
481.0,ELPAS10-80-P8.1,1.0
482.0,ELPAS10-80-P8.1,1.0
483.0,ELPAS10-80-P8.1,2.0
484.0,ELPE13-LC84-P12.15-W7.1,2.0
485.0,ELPEL13-84-P12.15-W7.1,2.0
487.0,ELPJAS10-90-P5.5,2.0
488.0,ELPRS13-90-P7.0-W7.0,1.0
489.0,ELPRS13-90-P7.0-W7.0,1.0
490.0,ELPRS16-80-P11.2-W7.1,1.0
492.0,EMDE20-25-P8.7-W7.2-SKC,1.0
493.0,EMDE38-25-P20.24-W15.24,2.0
494.0,EMHD13-25-P6.78-SKC,2.0
495.0,EMHD13-25-P7.2,1.0
497.0,EKSD22-20-P10.3,2.0
498.0,EMHD13-30-P6.8,1.0
499.0,EMHD16-25-P8.17,1.0
500.0,EMHD16-30-P6.06,1.0
501.0,EMHD16-35-P6.18,1.0
502.0,EMHD16-35-P6.35,2.0
503.0,EMHD20-16-PC6.60,1.0
504.0,EMHD20-25-P8.2,1.0
505.0,EMHD20-35-P10.19-SKC,2.0
506.0,EMHD20-35-P10.3,2.0
507.0,EMHD20-35-P9.16,1.0
508.0,EMHD20-LC38-P8.56,1.0
509.0,EMHD22-25-P9.28,1.0
510.0,EMHD22-30-P10.25,1.0
511.0,EMHD22-30-P10.35,1.0
512.0,EMHD22-30-P9.16,1.0
513.0,EMHD22-35-P13.2-SKC,1.0
514.0,EMHD32-25-P16.22,1.0
515.0,EMHD40-29-P22.48-W11.38,5.0
516.0,EMHDE25-25-P10.58,1.0
517.0,EKSD13-20-P6.13,2.0
518.0,EMSD16-20-P8.28,2.0
519.0,EMSD16-20-P9.19,1.0
520.0,EMSD16-22-P8.4,1.0
521.0,EMSD16-25-P7.22,1.0
522.0,EMSD16-25-P9.35,1.0
523.0,EMSD20-20-P10.06,1.0
524.0,EMSD20-20-P10.07,1.0
525.0,EMSD20-20-P7.24,1.0
526.0,EMSD20-20-P9.24,1.0
527.0,EMSD20-20-P9.24,1.0
528.0,EMSD20-22-10.4,1.0
529.0,EMSD20-22-P8.86,1.0
530.0,EMSD20-30-P9.36,1.0
531.0,EKSD16-20-P8.28,2.0
532.0,EMSD22-20-P12.24,2.0
533.0,EPLAS13-90-P12,1.0
534.0,GH-SHEL10-80-P8.58-W7.08,1.0
535.0,GH-SHEL10-80-P8.58-W7.08,2.0
536.0,GPJAR32-25-80-P25.04,1.0
537.0,EKDR13-20-P5.95-W4.3-R1.15,2.0
538.0,EKSD25-20-P13.35,2.0
539.0,EKSD22-20-P11.07,3.0
540.0,EKSD16-20-P5.80,2.0
541.0,G-SJAL10-80-P5.98,2.0
542.0,G-SJAL13-75-P9.05,3.0
543.0,G-SJAL16-80-P13.1,2.0
544.0,G-SJAL8-80-P4.55,1.0
545.0,G-SJAL8-80-P4.55,4.0
546.0,G-SJAL8-80-P4.96,1.0
547.0,G-SJAL8-80-P4.98,2.0
548.0,G-SJAL8-80-P4.98,3.0
549.0,G-SJAX13-71-P10.05,2.0
552.0,G-SJAX13-80-P7.15,3.0
553.0,G-SJDL13-LC53-P9.0-W5.0,1.0
554.0,G-SJE16-100-P12-W7.0,2.0
555.0,G-SJEL10-80-P6.9-W4.1-R0.5,4.0
556.0,G-SJEL10-98-P8.98-W6.43,2.0
